number;meta_object|Район;name;ОЛ|ОД|Объект|Наименование;П|ОД|Наименование|i;П|ОД|Наименование|ii;П|ОД|Наименование|iii;ОЛ|ОД|Объект|Полное наименование;П|ОД|Полное наименование|i;П|ОД|Полное наименование|ii;П|ОД|Полное наименование|iii;address;ОЛ|ОД|Объект|Адрес;meta_object|Учащихся;ОЛ|ОД|Объект|Учащихся;ОЛ|ОД|Объект|Классов;ОЛ|ОД|Объект|Этажей;П|ОД|Подписант|Должность;П|ОД|Подписант|ФИО;П|ВКС|Отсутствует;П|ВКС|Производитель;П|ВКС|Модель;П|ЛВС|Список;ОЛ|Интернет|Провайдер|0|Наименование;ОЛ|Интернет|Провайдер|0|Тип;ОЛ|Интернет|Провайдер|0|Скорость;ОЛ|Интернет|Провайдер|1|Наименование;ОЛ|Интернет|Провайдер|1|Тип;ОЛ|Интернет|Провайдер|1|Скорость;ОЛ|ОД|Объект|Планы|0|Скан;ОЛ|ОД|Объект|Планы|0|Этаж;ОЛ|ОД|Объект|Планы|1|Скан;ОЛ|ОД|Объект|Планы|1|Этаж;ОЛ|ОД|Объект|Планы|2|Скан;ОЛ|ОД|Объект|Планы|2|Этаж;ОЛ|ОД|Объект|Планы|3|Скан;ОЛ|ОД|Объект|Планы|3|Этаж;ОЛ|ОД|Объект|Планы|4|Скан;ОЛ|ОД|Объект|Планы|4|Этаж;ОЛ|ОД|Объект|Планы|5|Скан;ОЛ|ОД|Объект|Планы|5|Этаж;ОЛ|ОД|Объект|Планы|6|Скан;ОЛ|ОД|Объект|Планы|6|Этаж;ОЛ|ОД|Объект|Планы|7|Скан;ОЛ|ОД|Объект|Планы|7|Этаж;ОЛ|ОД|Объект|Планы|8|Скан;ОЛ|ОД|Объект|Планы|8|Этаж;ОЛ|ОД|Объект|Планы|9|Скан;ОЛ|ОД|Объект|Планы|9|Этаж;ОЛ|ОД|Объект|Планы|10|Скан;ОЛ|ОД|Объект|Планы|10|Этаж;ОЛ|ОД|Объект|Планы|11|Скан;ОЛ|ОД|Объект|Планы|11|Этаж;ОЛ|ОД|Объект|Планы|12|Скан;ОЛ|ОД|Объект|Планы|12|Этаж;ОЛ|ОД|Объект|Планы|13|Скан;ОЛ|ОД|Объект|Планы|13|Этаж;ОЛ|ОД|Объект|Планы|14|Скан;ОЛ|ОД|Объект|Планы|14|Этаж;ОЛ|ОД|Объект|Планы|15|Скан;ОЛ|ОД|Объект|Планы|15|Этаж
5;Аннинский ;МКОУ Дерябкинская ООШ;МКОУ Дерябкинская ООШ;МКОУ Дерябкинская ООШ;МКОУ Дерябкинской ООШ;МКОУ Дерябкинской ООШ;Муниципальное казенное общеобразовательное учреждение Дерябкинская основная общеобразовательная школа ;Муниципальное казенное общеобразовательное учреждение Дерябкинская основная общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Дерябкинская основная общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Дерябкинская основная общеобразовательная школа;396232, Воронежская область, Аннинский район, село Дерябкино, улица Советская, дом 25;396232, Воронежская область, Аннинский район, село Дерябкино, улица Советская, дом 25;33;30;8;2;Директор;Токарева Л. И.;1;;;\item Wi-Fi роутер ASUS RT N10P -- 1~шт. ;Квант-Телеком;Радиоканал;1.87;-;-;-;1_77037_5bed1051bb8f2;2;1_77038_5bed106886648;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
458;Хохольский;МКОУ Устьевская СОШ;МКОУ Устьевская СОШ;МКОУ Устьевская СОШ;МКОУ Устьевской СОШ;МКОУ Устьевской СОШ;Муниципальное казенное общеобразовательное учреждение «Устьевская средняя общеобразовательная школа»;Муниципальное казенное общеобразовательное учреждение «Устьевская средняя общеобразовательная школа»;Муниципального казённого общеобразовательного учреждения «Устьевская средняя общеобразовательная школа»;Муниципальному казённому общеобразовательному учреждению «Устьевская средняя общеобразовательная школа»;396838, Воронежская обл., Хохольский район, с. Устье, ул. Ленина, д. 19;396838, Воронежская обл., Хохольский район, с. Устье, ул. Ленина, д. 19;101;94;12;2;Директор;Раренко О. П.;1;;;\item Wi-Fi роутер Zyxel Keenetic  -- 1~шт. ;Мегафон;Радиоканал;8;-;-;-;1_40554_5ba241765d182;1;1_40577_5ba2418da4c08;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
408;Семилукский;МКОУ Стадницкая ООШ Семилукского муниципального района Воронежской области;МКОУ Стадницкая ООШ Семилукского муниципального района Воронежской области;МКОУ Стадницкая ООШ Семилукского муниципального района Воронежской области;МКОУ Стадницкой ООШ Семилукского муниципального района Воронежской области;МКОУ Стадницкой ООШ Семилукского муниципального района Воронежской области;Муниципальное казённое общеобразовательное учреждение Стадницкая основная общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципальное казённое общеобразовательное учреждение Стадницкая основная общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Стадницкая основная общеобразовательная школа Семилукского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Стадницкая основная общеобразовательная школа Семилукского муниципального района Воронежской области;Российская Федерация, 396917, Воронежская область, Семилукский района, село Стадница, ул. Новая, д. 1;Российская Федерация, 396917, Воронежская область, Семилукский района, село Стадница, ул. Новая, д. 1;39;38;11;2;Директор;Калинин А. Т.;1;;;\item Маршрутизатор без Wi-Fi Zyxel P-600 -- 1~шт. ;ПАО "Ростелеком";DSL модем;10;-;-;-;1_35767_5b9f7bb444022;1;1_35768_5b9f7cad44dcd;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
82;Бутурлиновский;МКОУ Филиппенковская ООШ Бутурлиновского муниципального района Воронежской области;МКОУ Филиппенковская ООШ Бутурлиновского муниципального района Воронежской области;МКОУ Филиппенковская ООШ Бутурлиновского муниципального района Воронежской области;МКОУ Филиппенковской ООШ Бутурлиновского муниципального района Воронежской области;МКОУ Филиппенковской ООШ Бутурлиновского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Филиппенковская основная  общеобразовательная школа Бутурлиновского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Филиппенковская основная общеобразовательная школа Бутурлиновского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Филиппенковская основная общеобразовательная школа Бутурлиновского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Филиппенковская основная общеобразовательная школа Бутурлиновского муниципального района Воронежской области;Российская Федерация, 397540 Воронежская область, Бутурлиновский район, село Филиппенково, улица Центральная, дом 84;Российская Федерация, 397540 Воронежская область, Бутурлиновский район, село Филиппенково, улица Центральная, дом 84;29;25;-;-;Директор ;Дятлова В. Е.;1;;;\item adsl модем D-Link DSL-2640U -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_33781_5b9d4858e4b9f;1;1_33804_5b9d4878da6f0;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
637;Железнодорожный;МБОУ СОШ № 68;МБОУ СОШ № 68;МБОУ СОШ № 68;МБОУ СОШ № 68;МБОУ СОШ № 68;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 68;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 68;Муниципального бюджетного общеобразовательного учреждения средняя общеобразовательная школа № 68;Муниципальному бюджетному общеобразовательному учреждению средняя общеобразовательная школа № 68;394042, г. Воронеж, ул. Переверткина, д. 16;394042, г. Воронеж, ул. Переверткина, д. 16;857;920;-;3;Директор;Михалёва Ж. В.;1;;;\item Коммутатор D-Link DES-1008D -- 1~шт. ;Freedom (Информсвязь);Оптический кабель до здания школы;7;-;-;-;1_46991_5ba518b0cc658;2;1_46968_5ba51887ed77a;1;1_46992_5ba518c23c236;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
133;Калачеевский;МБОУ Заброденская СОШ;МБОУ Заброденская СОШ;МБОУ Заброденская СОШ;МБОУ Заброденской СОШ;МБОУ Заброденской СОШ;Муниципальное бюджетное общеобразовательное учреждение Заброденская средняя общеобразовательная школа;Муниципальное бюджетное общеобразовательное учреждение Заброденская средняя общеобразовательная школа;Муниципального бюджетного общеобразовательного учреждения Заброденская средняя общеобразовательная школа;Муниципальному бюджетному общеобразовательному учреждению Заброденская средняя общеобразовательная школа;397610, Воронежская обл., Калачеевский район, с. Заброды, ул. Калинина, д. 82;397610, Воронежская обл., Калачеевский район, с. Заброды, ул. Калинина, д. 82;612;609;27;3;Директор;Шилова Г. В.;1;;;\item Маршрутизатор с Wi-Fi ASUS RT-N11P -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;20;-;-;-;1_39599_5ba1f4c96a671;1;1_39657_5ba1f6e7893b8;2;1_39658_5ba1f70693675;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
346;Подгоренский;МКОУ Сергеевская СОШ;МКОУ Сергеевская СОШ;МКОУ Сергеевская СОШ;МКОУ Сергеевской СОШ;МКОУ Сергеевской СОШ;Муниципальное казенное общеобразовательное учреждение Сергеевская средняя общеобразовательная школа Подгоренского муниципального района Воронежской области ;Муниципальное казенное общеобразовательное учреждение Сергеевская средняя общеобразовательная школа Подгоренского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Сергеевская средняя общеобразовательная школа Подгоренского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Сергеевская средняя общеобразовательная школа Подгоренского муниципального района Воронежской области;396571, Воронежская обл., Подгоренский район, с. Сереевка, ул. Есенина , д. 34;396571, Воронежская обл., Подгоренский район, с. Сереевка, ул. Есенина , д. 34;141;134;15;3;Директор;Слизкая Л. С.;1;;;\item Коммутатор Huawei EchoLife  HG 520 -- 1~шт. ;ПАО "Ростелеком";PPPoE;2;-;-;-;1_60605_5bdbf2bc5e29a;1;1_60632_5bdbf2d9f12c3;2;1_60633_5bdbf2f8a4ce5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
240;Новоусманский;МКОУ Шуберская СОШ;МКОУ Шуберская СОШ;МКОУ Шуберская СОШ;МКОУ Шуберской СОШ;МКОУ Шуберской СОШ;Муниципальное казенное образовательное учреждение Шуберская средняя общеобразовательная школа;Муниципальное казенное образовательное учреждение Шуберская средняя общеобразовательная школа;Муниципального казённого образовательного учреждения Шуберская средняя общеобразовательная школа;Муниципальному казённому образовательному учреждению Шуберская средняя общеобразовательная школа;396320, Воронежская обл., Новоусманский район, п. Шуберское, ул. Подлесная, д. 19;396320, Воронежская обл., Новоусманский район, п. Шуберское, ул. Подлесная, д. 19;232;235;30;2;Директор;Крюченков Н. Н.;1;;;\item Коммутатор D-Link DES-1008A -- 1~шт. \item ADSL роутер D-Link DSL-2640U -- 1~шт. ;Ростелеком;PPPoE;3;-;-;-;1_48244_5ba89d4edfb30;1;1_48267_5ba89d63e7a6b;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
135;Калачеевский;МКОУ Краснобратская ООШ;МКОУ Краснобратская ООШ;МКОУ Краснобратская ООШ;МКОУ Краснобратской ООШ;МКОУ Краснобратской ООШ;Муниципальное казенное общеобразовательное учреждение Краснобратская основная общеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Краснобратская основная общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Краснобратская основная общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Краснобратская основная общеобразовательная школа;397631 Россия, Воронежская область, Калачеевский район, с. Пришиб, ул. Щербакова, д.3;397631 Россия, Воронежская область, Калачеевский район, с. Пришиб, ул. Щербакова, д.3;150;152;9;2;Директор;Мельников Н. С.;1;;;\item Маршрутизатор с Wi-Fi ASUS DSL-10 -- 1~шт. ;ПАО "Ростелеком";DSL модем;3;-;-;-;1_40061_5ba22ca77e6b1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
251;Новохоперский;МОУ Новохоперская СОШ №91;МОУ Новохоперская СОШ №91;МОУ Новохоперская СОШ №91;;;Муниципальное общеобразовательное учреждение Новохоперского муниципального района Воронежской области "Новохоперская средняя общеобразовательная школа №91";Муниципальное общеобразовательное учреждение Новохоперского муниципального района Воронежской области "Новохоперская средняя общеобразовательная школа №91";;;397440 Воронежская обл., Новохоперский р-н, п. Новохоперский, ул. Железнодорожная, 27;397440 Воронежская обл., Новохоперский р-н, п. Новохоперский, ул. Железнодорожная, 27;355;511;25;3;Директор ;Почепцова Н. В.;1;;;\item Маршрутизатор без Wi-Fi TP-Link TL-R480T+ -- 1~шт. ;ПАО "Ростелеком";PPPoE;3;-;-;-;1_42071_5ba26267a5667;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
420;Таловский ;МКОУ Докучаевская СОШ;МКОУ Докучаевская СОШ;МКОУ Докучаевская СОШ;МКОУ Докучаевской СОШ;МКОУ Докучаевской СОШ;Муниципальное казенное общеобразовательное учреждение Докучаевская средняя общеобразовательная школа;Муниципальное казенное общеобразовательное учреждение Докучаевская средняя общеобразовательная школа;Муниципального казённого общеобразовательного учреждения Докучаевская средняя общеобразовательная школа;Муниципальному казённому общеобразовательному учреждению Докучаевская средняя общеобразовательная школа;397461, Воронежская обл., Таловский район, п. Вознесенский, ул. Дужнова, д. 37;397461, Воронежская обл., Таловский район, п. Вознесенский, ул. Дужнова, д. 37;107;79;-;2;Директор;Зобов В. И.;1;;;\item Маршрутизатор с Wi-Fi TP-Link TL-WR841N -- 1~шт. \item Точка доступа Wi-Fi Zyxel Keenetic III -- 3~шт. ;ПАО "Ростелеком";Оптический кабель;5;-;-;-;1_30914_5b9b6a340858d;1;1_31004_5b9b68da5591d;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
238;Новоусманский;МКОУ Масловская СОШ;МКОУ Масловская СОШ;МКОУ Масловская СОШ;МКОУ Масловской СОШ;МКОУ Масловской СОШ;Муниципальное казенное образовательное учреждение Масловская средняя общеобразовательная школа;Муниципальное казенное образовательное учреждение Масловская средняя общеобразовательная школа;Муниципального казённого образовательного учреждения Масловская средняя общеобразовательная школа;Муниципальному казённому образовательному учреждению Масловская средняя общеобразовательная школа;Воронежская область Новоусманский район,396344 п.с/за "Воронежский", ул.Воронежская,1;Воронежская область Новоусманский район,396344 п.с/за "Воронежский", ул.Воронежская,1;231;233;17;2;Директор;Мелькова В. Е.;1;;;\item ADSL роутер Zyxel KEENETIC EXTRA -- 1~шт. ;Ростелеком;PPPoE;1;-;-;-;1_49369_5ba9da72b5d37;2;1_49271_5ba9d2b477a21;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
392;Россошанский;МКОУ Евстратовская СОШ;МКОУ Евстратовская СОШ;МКОУ Евстратовская СОШ;МКОУ Евстратовской СОШ;МКОУ Евстратовской СОШ;Муниципальное казенное общеобразовательное учреждение Евстратовская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципальное казенное общеобразовательное учреждение Евстратовская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Евстратовская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Евстратовская средняя общеобразовательная школа Россошанского муниципального района Воронежской области;396630, Воронежская обл., Россошанский район, с. Евстратовка, пер. Школьный, д. 3;396630, Воронежская обл., Россошанский район, с. Евстратовка, пер. Школьный, д. 3;121;123;15;2;Директор;Брюханова О. А.;1;;;\item Коммутатор D-Link DES-1210-10/ME/B1A -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;20;-;-;-;1_34290_5b9f4be9440f5;1;1_34313_5b9f4bf44b141;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
651;Коминтерновский;МБОУ СОШ  №85;МБОУ СОШ  №85;МБОУ СОШ №85;МБОУ СОШ №85;МБОУ СОШ №85;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 85 имени Героя России Филипова Романа Николаевича;Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 85 имени Героя России Филипова Романа Николаевича;Муниципального бюджетного общеобразовательного учреждения средняя общеобразовательная школа № 85 имени Героя России Филипова Романа Николаевича;Муниципальному бюджетному общеобразовательному учреждению средняя общеобразовательная школа № 85 имени Героя России Филипова Романа Николаевича;г. Воронеж, ул. Маршала Жукова, д. 2;г. Воронеж, ул. Маршала Жукова, д. 2;551;625;-;3;Директор;Клепикова Г. А.;1;;;\item Маршрутизатор без Wi-Fi D-Link DES-1024A -- 2~шт. ;Дом.ру (Эр-Телеком);DSL модем;7;-;-;-;1_45226_5ba39e35b4e12;1;1_45252_5ba39e4fa15d5;2;1_45255_5ba39e694a7cf;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
532;Калачеевский;МКОУ Калачеевская СОШ № 1;МКОУ Калачеевская СОШ № 1;МКОУ Калачеевская СОШ № 1;МКОУ Калачеевской СОШ № 1;МКОУ Калачеевской СОШ № 1;Муниципальное бюджетное общеобразовательное учреждение Калачеевская средняя общеобразовательная школа № 1;Муниципальное бюджетное общеобразовательное учреждение Калачеевская средняя общеобразовательная школа № 1;Муниципального бюджетного общеобразовательного учреждения Калачеевская средняя общеобразовательная школа № 1;Муниципальному бюджетному общеобразовательному учреждению Калачеевская средняя общеобразовательная школа № 1;397600, Воронежская обл., Калачеевский район, г. Калач, ул. Коммунистическая, д. 11;397600, Воронежская обл., Калачеевский район, г. Калач, ул. Коммунистическая, д. 11;631;638;35;3;Директор;Ивонина Т. В.;1;;;\item Маршрутизатор с Wi-Fi ASUS N-10 -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;6;-;-;-;1_43899_5ba37da4afbe8;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
492;Борисоглебский;МБОУ СОШ №4;МБОУ СОШ №4;МБОУ СОШ №4;МБОУ СОШ №4;МБОУ СОШ №4;Муниципальное бюджетное общеобразовательное учреждение Борисоглебского городского округа Борисоглебская средняя общеобразовательная школа №4;Муниципальное бюджетное общеобразовательное учреждение Борисоглебского городского округа Борисоглебская средняя общеобразовательная школа №4;Муниципального бюджетного общеобразовательного учреждения Борисоглебского городского округа Борисоглебская средняя общеобразовательная школа №4;Муниципальному бюджетному общеобразовательному учреждению Борисоглебского городского округа Борисоглебская средняя общеобразовательная школа №4;397163, Воронежская обл., г. Борисоглебск, пер. Сенной, д. 30;397163, Воронежская обл., г. Борисоглебск, пер. Сенной, д. 30;840;841;18;2;Директор;Гринькова О. В.;1;;;\item CPE роутер  D LINK D-Link DVG-N5402GF -- 1~шт. \item Маршрутизатор с Wi-Fi TP-Link TP Link WR-842N -- 1~шт. \item Точка доступа Wi-Fi Ubiquiti UniFi AP LR -- 1~шт. \item Точка доступа Wi-Fi Zyxel Zyxel NWA1100-N -- 1~шт. ;ПАО "Ростелеком";Оптический кабель до здания школы;5;-;-;-;1_44967_5ba39ae22f082;1;1_45187_5ba39b0e0fe99;1;1_45188_5ba39b319a0e5;2;1_45189_5ba39b4730ee5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
244;Новоусманский;МКОУ Орловская СОШ;МКОУ Орловская СОШ;МКОУ Орловская СОШ;МКОУ Орловской СОШ;МКОУ Орловской СОШ;Муниципальное казенное образовательное учреждение Орловская средняя общеобразовательная школа;Муниципальное казенное образовательное учреждение Орловская средняя общеобразовательная школа;Муниципального казённого образовательного учреждения Орловская средняя общеобразовательная школа;Муниципальному казённому образовательному учреждению Орловская средняя общеобразовательная школа;Воронежская область Новоусманский район,396305, с.Орлово, ул. Пионерская,14;Воронежская область Новоусманский район,396305, с.Орлово, ул. Пионерская,14;365;376;27;2;Директор;Бородина О. Е.;1;;;\item Коммутатор D-Link DES -1210-10 -- 1~шт. ;Ростелеком;PPPoE;100;-;-;-;1_49856_5ba9f2a2540cf;1;1_49859_5ba9f2b850bb9;1;1_49861_5ba9f2d95da3d;2;1_49833_5ba9f266ac2b1;1;1_49857_5ba9f2ad2517e;1;1_49860_5ba9f2c4baf65;2;1_49863_5ba9f2ebde97a;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
731;Ленинский ;МБОУ СОШ №12;МБОУ СОШ №12;МБОУ СОШ №12;МБОУ СОШ №12;МБОУ СОШ №12;Муниципальное общеобразовательное учреждение Средняя школа №12;Муниципальное общеобразовательное учреждение Средняя школа №12;;;г. Воронеж, ул. 20-летия Октября, 93;г. Воронеж, ул. 20-летия Октября, 93;872;900;-;4;Директор;Соколов В. Н.;1;;;\item Коммутатор TP-Link tl-sf-1016d -- 1~шт. ;Дом.ру (Эр-Телеком);Оптический кабель до здания школы;20;-;-;-;1_46006_5ba4cc93a8a16;1;1_46029_5ba4ccbdd6cd0;2;1_46030_5ba4ccd0ca507;3;1_46031_5ba4ccff77108;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
108;Воробьевский;МКОУ Поселковая СОШ;МКОУ "Поселковая СОШ";МКОУ "Поселковая СОШ";МКОУ "Поселковой СОШ";МКОУ "Поселковой СОШ";Муниципальное казенное общеобразовательное учреждение "Поселковая средняя общеобразовательная школа" Воробьевского муниципального района;Муниципальное казенное общеобразовательное учреждение "Поселковая средняя общеобразовательная школа" Воробьевского муниципального района;Муниципального казённого общеобразовательного учреждения "Поселковая средняя общеобразовательная школа" Воробьевского муниципального района;Муниципальному казённому общеобразовательному учреждению "Поселковая средняя общеобразовательная школа" Воробьевского муниципального района;397560, Воронежская обл., Воробьевский район, центр.ус. совхоз Воробьевский, ул. Садовая, д. 14 А;397560, Воронежская обл., Воробьевский район, центр.ус. совхоз Воробьевский, ул. Садовая, д. 14 А;121;108;11;2;Директор;Бондарева С. И.;1;;;\item Коммутатор Accorp HU 8D -- 1~шт. \item Точка доступа Wi-Fi D-Link DAP-2360 -- 1~шт. ;ПАО "Ростелеком";PPPoE;100;-;-;-;1_39060_5ba0ff77ef242;2;1_39059_5ba0ff53c2fb8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
140;Калачеевский;МКОУ Новомеловатская СОШ;МКОУ Новомеловатская СОШ;МКОУ Новомеловатская СОШ;МКОУ Новомеловатской СОШ;МКОУ Новомеловатской СОШ;Муниципальное бюджетное общеобразовательное учреждение Новомеловатская средняя общеобразовательная школа;Муниципальное бюджетное общеобразовательное учреждение Новомеловатская средняя общеобразовательная школа;Муниципального бюджетного общеобразовательного учреждения Новомеловатская средняя общеобразовательная школа;Муниципальному бюджетному общеобразовательному учреждению Новомеловатская средняя общеобразовательная школа;397620, Воронежская обл., Калачеевский район, с. Новомеловатка, ул. Ленина, д. 52А;397620, Воронежская обл., Калачеевский район, с. Новомеловатка, ул. Ленина, д. 52А;149;190;11;2;Директор;Протасов А. Н.;1;;;\item Коммутатор D-Link DES-1210-10/ME -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;10;-;-;-;1_43264_5ba34ffb799fd;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
342;Поворинский;МКОУ Рождественская СОШ;МКОУ Рождественская СОШ;МКОУ Рождественская СОШ;МКОУ Рождественской СОШ;МКОУ Рождественской СОШ;Рождественская средняя общеобразовательная школа МКОУ имени дважды героя Советского Союза А.Н.Прохорова ;Рождественская средняя общеобразовательная школа МКОУ имени дважды героя Советского Союза А.Н.Прохорова;;;397330, Воронежская обл., Поворинский район, г. Рождественское, ул. 18 Партсъезда, д. 48;397330, Воронежская обл., Поворинский район, г. Рождественское, ул. 18 Партсъезда, д. 48;180;187;-;2;Директор;Асоскова О. В.;1;;;\item Маршрутизатор с Wi-Fi ZTE ZXHN H118N -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;100;-;-;-;1_62976_5be2944d25b6f;1;1_62975_5be296de0e0c2;1;1_63002_5be2944d27752;2;1_63004_5be294c916d43;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
153;Каменский;МКОУ "Тимирязевская ООШ Каменского муниципального района";МКОУ "Тимирязевская ООШ Каменского муниципального района";МКОУ "Тимирязевская ООШ Каменского муниципального района";МКОУ "Тимирязевской ООШ Каменского муниципального района";МКОУ "Тимирязевской ООШ Каменского муниципального района";Муниципальное казённое образовательное учреждение Тимирязевская основная общеообразовательная школа;Муниципальное казённое образовательное учреждение Тимирязевская основная общеообразовательная школа;Муниципального казённого образовательного учреждения Тимирязевская основная общеообразовательная школа;Муниципальному казённому образовательному учреждению Тимирязевская основная общеообразовательная школа;396517, Воронежская область, Каменский район, с. Тимирязево, ул. Центральная, д. 21;396517, Воронежская область, Каменский район, с. Тимирязево, ул. Центральная, д. 21;43;35;12;2;Директор;Чехонадских Н. А.;1;;;\item Коммутатор QTECH QSW-2800 -- 1~шт. \item Маршрутизатор с Wi-Fi TP-Link TL-WR841N -- 1~шт. ;Квант-Телеком;Оптический кабель до здания школы;10;-;-;-;1_32988_5b9b9fe79014c;1;1_33013_5b9b9ffb54912;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
524;Верхнехавский;МКОУ В-Хавская СОШ №2;МКОУ В-Хавская СОШ №2;МКОУ В-Хавская СОШ №2;МКОУ В-Хавской СОШ №2;МКОУ В-Хавской СОШ №2;Муниципальное казенное общеобразовательное учреждение Верхнехавская Средняя общеобразовательная школа № 2  Верхнехавского муниципального района Воронежской области.		;Муниципальное казенное общеобразовательное учреждение Верхнехавская Средняя общеобразовательная школа № 2 Верхнехавского муниципального района Воронежской области;Муниципального казённого общеобразовательного учреждения Верхнехавская Средняя общеобразовательная школа № 2 Верхнехавского муниципального района Воронежской области;Муниципальному казённому общеобразовательному учреждению Верхнехавская Средняя общеобразовательная школа № 2 Верхнехавского муниципального района Воронежской области;396110, Воронежская обл., Верхнехавский район, с. Верхняя Хава, ул. Октябрьская, д. 22;396110, Воронежская обл., Верхнехавский район, с. Верхняя Хава, ул. Октябрьская, д. 22;207;215;23;2;Директор;Фелимонов А. В.;1;;;\item Коммутатор Huawei S2326TP-EI -- 1~шт. ;ПАО "Ростелеком";Оптический кабель;20.0;-;-;-;1_50042_5baa040453c8e;2;1_50041_5baa03f35a371;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
